Temp,E,E^2,E^4,M,M^2,M^4
0.000000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.010000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.020000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.030000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.040000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.050000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.060000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.070000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.080000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.090000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.100000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.110000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.120000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.130000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.140000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.150000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.160000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.170000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.180000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.190000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.200000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.210000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.220000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.230000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.240000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.250000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.260000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.270000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.280000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.290000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.300000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.310000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.320000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.330000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.340000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.350000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.360000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.370000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.380000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.390000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.400000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.410000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.420000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.430000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.440000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.450000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.460000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.470000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.480000,-1.9999938965,3.9999755861,15.9998046920,0.9999984741,0.9999969483,0.9999938966
0.490000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.500000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.510000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.520000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.530000,-1.9999938965,3.9999755861,15.9998046920,0.9999984741,0.9999969483,0.9999938966
0.540000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.550000,-1.9999816895,3.9999267587,15.9994140849,0.9999954224,0.9999908448,0.9999816898
0.560000,-1.9999877930,3.9999511722,15.9996093839,0.9999969482,0.9999938965,0.9999877931
0.570000,-2.0000000000,4.0000000000,16.0000000000,1.0000000000,1.0000000000,1.0000000000
0.580000,-1.9999938965,3.9999755861,15.9998046920,0.9999984741,0.9999969483,0.9999938966
0.590000,-1.9999877930,3.9999511722,15.9996093839,0.9999969482,0.9999938965,0.9999877931
0.600000,-1.9999877930,3.9999511722,15.9996093839,0.9999969482,0.9999938965,0.9999877931
0.610000,-1.9999755859,3.9999023449,15.9992187768,0.9999938965,0.9999877930,0.9999755864
0.620000,-1.9999816895,3.9999267584,15.9994140759,0.9999954224,0.9999908448,0.9999816897
0.630000,-1.9999694824,3.9998779314,15.9990234777,0.9999923706,0.9999847413,0.9999694831
0.640000,-1.9999816895,3.9999267584,15.9994140759,0.9999954224,0.9999908448,0.9999816897
0.650000,-1.9999816895,3.9999267587,15.9994140849,0.9999954224,0.9999908448,0.9999816898
