L,time
32, 0.120655
32, 0.116898
32, 0.119600
32, 0.118079
32, 0.126278
64, 0.488683
64, 0.474762
64, 0.502268
64, 0.514182
64, 0.483340
96, 1.341287
96, 1.330156
96, 1.355760
96, 1.406707
96, 1.359570
128, 1.995740
128, 2.028740
128, 2.005074
128, 2.013863
128, 2.068535
160, 3.825053
160, 3.774953
160, 3.733690
160, 3.673927
160, 3.698098
192, 5.273542
192, 5.287473
192, 5.285839
192, 5.184982
192, 5.199254
224, 6.842597
224, 6.781166
224, 6.685052
224, 6.701688
224, 6.704476
256, 7.740017
256, 7.654712
256, 7.899795
256, 7.566086
256, 7.650279
288, 11.438952
288, 11.575410
288, 11.568922
288, 11.357764
288, 11.443608
320, 14.314015
320, 14.306855
320, 14.310789
320, 14.509318
320, 15.285853
352, 17.419267
352, 17.553699
352, 17.360594
352, 17.334366
352, 17.291750
384, 20.685187
384, 20.550369
384, 20.589640
384, 20.481775
384, 20.640860
416, 23.964359
416, 23.702374
416, 23.896230
416, 23.952566
416, 23.943210
448, 27.158278
448, 26.717621
448, 27.000947
448, 26.708825
448, 27.013923
480, 30.997279
480, 31.179939
480, 34.060919
480, 30.900302
480, 31.029783
512, 30.614393
512, 30.724455
512, 30.596511
512, 30.545972
512, 30.931261
544, 40.340143
544, 39.670612
544, 40.414684
544, 40.134150
544, 40.401590
576, 46.367844
576, 46.280902
576, 46.952684
576, 47.144379
576, 46.791148
608, 52.264863
608, 52.173174
608, 52.266312
608, 51.885150
608, 52.662690
640, 57.049689
640, 61.725193
640, 58.024901
640, 57.972684
640, 58.892576
672, 64.136750
672, 64.592288
672, 64.839350
672, 64.136581
672, 64.651897
704, 71.796125
704, 72.245789
704, 72.805046
704, 72.985074
704, 73.145815
736, 73.899909
736, 73.219764
736, 74.480486
736, 74.062555
736, 73.980577
768, 86.967737
768, 87.555871
768, 86.888996
768, 86.813511
768, 86.214900
800, 93.752744
800, 93.127588
800, 92.775671
800, 93.113779
800, 92.983480
832, 101.297993
832, 101.772359
832, 101.162194
832, 103.411075
832, 101.251404
864, 108.973725
864, 109.663407
864, 108.648509
864, 110.023628
864, 109.090743
896, 113.903805
896, 114.699526
896, 115.180920
896, 114.486570
896, 114.047832
928, 118.026120
928, 118.078649
928, 117.922825
928, 118.914576
928, 122.079706
960, 133.560976
960, 132.813484
960, 132.777437
960, 132.217320
960, 131.543269
992, 140.130896
992, 140.669273
992, 139.553273
992, 140.902594
992, 140.643453
1024, 130.618104
1024, 130.948886
1024, 142.581874
1024, 130.348026
1024, 130.365536
