L,time
32, 2451.348935
64, 2442.589931
96, 1948.342306
128, 2386.259859
160, 1940.030533
192, 1966.555693
224, 2018.091636
256, 2386.060735
288, 1979.651600
320, 2010.214838
352, 2044.328015
384, 1993.823947
416, 2062.721866
448, 2054.488535
480, 2078.724968
512, 2408.327725
544, 2023.592850
576, 1993.612280
608, 2033.136763
640, 1932.823226
672, 1989.585531
704, 1969.675641
736, 2218.210220
768, 2020.800061
800, 2041.937091
832, 2076.232543
864, 2062.799320
896, 2079.901446
928, 2234.627849
960, 2105.347975
992, 2050.326097
1024, 2393.640494
